Rule   (Support, Confidence) 
2,21,23 -> 33  (28.5714%, 100%)
2 -> 21,26,33  (28.5714%, 100%)
2,21 -> 26,33  (28.5714%, 100%)
2,26 -> 21,33  (28.5714%, 100%)
2,21,26 -> 33  (28.5714%, 100%)
2 -> 21,28,33  (28.5714%, 100%)
16 -> 33  (35.7143%, 27.7778%)
16 -> 1,33  (35.7143%, 27.7778%)
1,16 -> 33  (35.7143%, 27.7778%)
16 -> 2,33  (21.4286%, 27.7778%)
16 -> 5,33  (14.2857%, 27.7778%)
16 -> 9,33  (35.7143%, 27.7778%)
9,16 -> 33  (35.7143%, 27.7778%)
16 -> 21,33  (35.7143%, 27.7778%)
16,21 -> 33  (35.7143%, 27.7778%)
16 -> 23,33  (35.7143%, 27.7778%)
16,23 -> 33  (35.7143%, 27.7778%)
16 -> 26,33  (35.7143%, 27.7778%)
16,26 -> 33  (35.7143%, 27.7778%)
16 -> 28,33  (35.7143%, 27.7778%)
16,28 -> 33  (35.7143%, 27.7778%)
16 -> 31,33  (14.2857%, 27.7778%)
16 -> 1,2,33  (21.4286%, 27.7778%)
1,16 -> 2,33  (21.4286%, 27.7778%)
16 -> 1,5,33  (14.2857%, 27.7778%)
1,16 -> 5,33  (14.2857%, 27.7778%)
16 -> 1,9,33  (35.7143%, 27.7778%)
1,16 -> 9,33  (35.7143%, 27.7778%)
9,16 -> 1,33  (35.7143%, 27.7778%)
1,9,16 -> 33  (35.7143%, 27.7778%)
16 -> 1,21,33  (35.7143%, 27.7778%)
1,16 -> 21,33  (35.7143%, 27.7778%)
16,21 -> 1,33  (35.7143%, 27.7778%)
1,16,21 -> 33  (35.7143%, 27.7778%)
16 -> 1,23,33  (35.7143%, 27.7778%)
1,16 -> 23,33  (35.7143%, 27.7778%)
16,23 -> 1,33  (35.7143%, 27.7778%)
1,16,23 -> 33  (35.7143%, 27.7778%)
16 -> 1,26,33  (35.7143%, 27.7778%)
1,16 -> 26,33  (35.7143%, 27.7778%)
16,26 -> 1,33  (35.7143%, 27.7778%)
1,16,26 -> 33  (35.7143%, 27.7778%)
16 -> 1,28,33  (35.7143%, 27.7778%)
1,16 -> 28,33  (35.7143%, 27.7778%)
16,28 -> 1,33  (35.7143%, 27.7778%)
1,16,28 -> 33  (35.7143%, 27.7778%)
16 -> 1,31,33  (14.2857%, 27.7778%)
1,16 -> 31,33  (14.2857%, 27.7778%)
16 -> 2,9,33  (21.4286%, 27.7778%)
9,16 -> 2,33  (21.4286%, 27.7778%)
16 -> 2,21,33  (21.4286%, 27.7778%)
16,21 -> 2,33  (21.4286%, 27.7778%)
16 -> 2,23,33  (21.4286%, 27.7778%)
16,23 -> 2,33  (21.4286%, 27.7778%)
16 -> 2,26,33  (21.4286%, 27.7778%)
16,26 -> 2,33  (21.4286%, 27.7778%)
16 -> 2,28,33  (21.4286%, 27.7778%)
16,28 -> 2,33  (21.4286%, 27.7778%)
16 -> 2,31,33  (14.2857%, 27.7778%)
